"amenity","longitude","latitude"
"bank",2.1531664,41.3865799
"bank",2.0933779,41.3305524
"bank",2.0928594,41.3305822
"bank",2.1344605,41.4077097
"bank",2.2006677,41.4193457
"bank",2.1579098,41.3812085
"bank",2.1403022,41.3912137
"bank",2.1168912,41.3536827
"bank",2.100445,41.3597667
"bank",2.1687444,41.3901293
"bank",2.1740404,41.4061693
"bank",2.1120425,41.3525017
"bank",2.167129,41.3745805
"bank",2.1728343,41.4091579
"bank",2.1835792,41.3832215
"bank",2.1640501,41.397915
"bank",2.2025515,41.4429351
"bank",2.1611921,41.4072415
"bank",2.1546463,41.40067
"bank",2.1549808,41.4004046
"bank",2.1959352,41.3906
"bank",2.1278112,41.3858992
"bank",2.175478,41.423703
"bank",2.1466376,41.4090899
"bank",2.1703248,41.3906206
"bank",2.1675333,41.3885348
"bank",2.1600818,41.3836536
"bank",2.1587284,41.382649
"bank",2.1591133,41.3821353
"bank",2.1599869,41.3747828
"bank",2.1654439,41.3747717
"bank",2.1309137,41.3800937
"bank",2.1345697,41.3816609
"bank",2.1341466,41.3815134
"bank",2.1352382,41.3897125
"bank",2.1575332,41.396294
"bank",2.1676451,41.3988377
"bank",2.1560931,41.3991716
"bank",2.1432198,41.398774
"bank",2.1776822,41.446101
"bank",2.1652513,41.4012373
"bank",2.1652512,41.4012372
"bank",2.1578399,41.3963805
"bank",2.215741,41.4091338
"bank",2.1690007,41.3950181
"bank",2.1835499,41.3832724
"bank",2.1735409,41.3813697
"bank",2.1641488,41.3964605
"bank",2.1756892,41.394213
"bank",2.1745737,41.4292726
"bank",2.0788642,41.4675883
"bank",2.2143725,41.4062955
"bank",2.1732535,41.4089716
"bank",2.1709357,41.4173599
"bank",2.1545434,41.3994104
"bank",2.1604377,41.4295556
"bank",2.1597575,41.4297877
"bank",2.1607892,41.4295265
"bank",2.1640281,41.3969814
"bank",2.1590668,41.3973121
"bank",2.1238626,41.3971034
"bank",2.1211099,41.3749532
"bank",2.17399788078287,41.4095258238974
"bank",2.11990208545605,41.3741578141037
"bank",2.2148166,41.4515069
"bank",2.2075006,41.4488789
"bank",2.21883,41.4494294
"bank",2.2079617,41.4487697
"bank",2.218092,41.4489256
"bank",2.2182792,41.4536874
"bank",2.2173658,41.4494419
"bank",2.2149219,41.4507486
"bank",2.2084855,41.4552596
"bank",2.223515,41.4520154
"bank",2.2174738,41.4463174
"bank",2.1207524,41.3899015
"bank",2.1210528,41.3899778
"bank",2.1212298,41.3900092
"bank",2.1472903,41.3820117
"bank",2.1289462,41.389509
"bank",2.1285616,41.3893377
"bank",2.2053323,41.4222643
"bank",2.1218255,41.3891569
"bank",2.1248616,41.3894429
"bank",2.1227077,41.3897943
"bank",2.1246067,41.3898951
"bank",2.0676244,41.457755
"bank",2.1813944,41.4304004
"bank",2.1803487,41.4304263
"bank",2.1782431,41.4301351
"bank",2.157694,41.3903125
"bank",2.1459282,41.3927796
"bank",2.12126959514647,41.3750943304169
"bank",2.2202246,41.4524835
"bank",2.2197176,41.4515826
"bank",2.0792715,41.467623
"bank",2.1878327,41.3795476
"bank",2.1886277,41.3806691
"bank",2.1896919,41.3802457
"bank",2.2139906,41.4495708
"bank",2.2133507,41.450327
"bank",2.2138626,41.4504169
"bank",2.2140518,41.4507862
"bank",2.2114503,41.4505892
"bank",2.2143833,41.449402
"bank",2.2097081,41.4511693
"bank",2.2120091,41.4507693
"bank",2.1352552,41.3818648
"bank",2.1852187,41.4231071
"bank",2.1725284,41.4456471
"bank",2.1391669,41.3834371
"bank",2.1390012,41.3829579
"bank",2.1447829,41.3747255
"bank",2.1447403,41.3750057
"bank",2.1123186,41.3888171
"bank",2.1768618,41.4063709
"bank",2.1761857,41.4063937
"bank",2.1768309,41.4046754
"bank",2.1262943,41.3721471
"bank",2.1588452,41.3941482
"bank",2.2014687,41.4587512
"bank",2.2029295,41.4586591
"bank",2.2099773,41.4066737
"bank",2.2020595,41.4006711
"bank",2.2048364,41.4032636
"bank",2.1673005,41.3752662
"bank",2.167281,41.3751836
"bank",2.1670947,41.3745992
"bank",2.1492695,41.3893706
"bank",2.1463949,41.3814046
"bank",2.1403699,41.3972539
"bank",2.1426216,41.3952885
"bank",2.142715,41.3953959
"bank",2.1407117,41.3969281
"bank",2.1127751,41.386329
"bank",2.1936878,41.4052775
"bank",2.1979768,41.4029241
"bank",2.1974976,41.4048847
"bank",2.1990818,41.4028396
"bank",2.1978561,41.4031816
"bank",2.198988,41.4029201
"bank",2.1796795,41.3830627
"bank",2.1433685,41.3907272
"bank",2.1325565,41.3810538
"bank",2.1844612,41.3843653
"bank",2.17635,41.430312
"bank",2.1431682,41.3990439
"bank",2.2025442,41.4033463
"bank",2.1604888,41.3728346
"bank",2.1456046,41.3850052
"bank",2.1818654,41.3863204
"bank",2.1636849,41.3864991
"bank",2.1643894,41.3975229
"bank",2.154207,41.3783552
"bank",2.1567621,41.3804438
"bank",2.1681403,41.3989276
"bank",2.1852576,41.4163889
"bank",2.082262079308,41.3599045407563
"bank",2.1464073,41.3899581
"bank",2.1296933,41.3979567
"bank",2.083287,41.3610815
"bank",2.083011,41.3620004
"bank",2.0826918,41.3623326
"bank",2.137725,41.4103763
"bank",2.140481,41.4121693
