"type","longitude","latitude"
"metro_station",2.1311043,41.416459
"metro_station",2.1194967,41.4213823
"metro_station",2.1082269,41.4005645
"metro_station",2.1333313,41.3727946
"metro_station",2.1353228,41.37563
"metro_station",2.1156299,41.3680166
"tram_stop",2.1874397,41.4025629
"tram_stop",2.1872938,41.4025783
"metro_station",2.1057924,41.4141365
"tram_stop",2.1306852,41.4153909
"tram_stop",2.1297114,41.4156309
"tram_stop",2.131888,41.4160934
"tram_stop",2.1349167,41.4131825
"tram_stop",2.1334309,41.4151031
"tram_stop",2.1368495,41.4104671
"metro_station",2.1082728,41.400543
"metro_station",2.1083121,41.4005902
"metro_station",2.1082662,41.4006117
"metro_station",2.0729165,41.4448499
"metro_station",2.0731311,41.4449927
"metro_station",2.0730231,41.4448094
"metro_station",2.073058,41.4448155
"metro_station",2.0731257,41.4449826
"metro_station",2.0730151,41.4450246
"metro_station",2.0730312,41.4448255
"metro_station",2.0731519,41.4449763
"metro_station",2.1370899,41.3301838
"metro_station",2.1331165,41.3237458
"metro_station",2.1451594,41.3433368
"metro_station",2.1408522,41.3363302
"tram_stop",2.1318636,41.4151973
"tram_stop",2.1336901,41.4147574
"tram_stop",2.1294738,41.41533
"tram_stop",2.135251,41.4126544
"metro_station",2.0914482,41.4272945
"metro_station",2.0915807,41.4273194
"metro_station",2.0915307,41.4274693
"metro_station",2.0913982,41.4274445
"metro_station",2.1452093,41.3433185
"metro_station",2.1447346,41.3426516
"metro_station",2.1447865,41.3426336
"metro_station",2.1400042,41.3790068
"metro_station",2.1630364,41.3687724
"metro_station",2.1829431,41.4308327
"metro_station",2.1832829,41.4308469
"metro_station",2.1829242,41.4310865
"metro_station",2.1832643,41.4311028
"metro_station",2.1152828,41.3548169
"metro_station",2.0898325,41.3312439
"metro_station",2.0902239,41.3313537
"metro_station",2.0901337,41.3314952
"metro_station",2.0903093,41.3315629
"metro_station",2.0902143,41.3317177
"metro_station",2.0899437,41.3316186
"metro_station",2.0898841,41.3317105
"metro_station",2.0897843,41.3316742
"metro_station",2.0899196,41.3314662
"metro_station",2.0899018,41.3314299
"metro_station",2.0897521,41.3313755
"metro_station",2.0901394,41.3314023
"metro_station",2.1030715,41.3289845
"metro_station",2.1112293,41.3335696
"tram_stop",2.2135446,41.4171697
"tram_stop",2.2135869,41.4171932
"tram_stop",2.1868584,41.3975452
