"id";"price";"accommodation_type";"latitude";"longitude";"precio_euro"
360863;NA;"Private room";41.38428;2.19576;NA
17475;165;"Entire place";41.39939;2.17044;150.942
18674;210;"Entire place";41.40556;2.17262;192.108
110041;94;"Entire place";41.40271;2.16646;85.9912
363601;60;"Entire place";41.37961;2.17306;54.888
112538;363;"Entire place";41.40653;2.1746;332.0724
117010;348;"Entire place";41.40647;2.17457;318.3504
118228;373;"Entire place";41.40653;2.1746;341.2204
23197;240;"Entire place";41.4124317252907;2.21975033526948;219.552
364030;149;"Entire place";41.3755534760919;2.16253592956739;136.3052
32711;129;"Entire place";41.40566;2.17015;118.0092
34241;186;"Entire place";41.38062;2.17517;170.1528
34981;262;"Entire place";41.37978;2.17623;239.6776
128463;106;"Entire place";41.37155;2.13664;96.9688
135513;150;"Entire place";41.39787;2.20429;137.22
365911;258;"Entire place";41.37911;2.15356;236.0184
136661;220;"Entire place";41.39047;2.19698;201.256
36763;35;"Private room";41.38043;2.19094;32.018
370665;260;"Entire place";41.38545;2.18117;237.848
40983;113;"Entire place";41.39631;2.16832;103.3724
41952;137;"Entire place";41.40568;2.16943;125.3276
46153;55;"Entire place";41.38956;2.17759;50.314
136670;40;"Private room";41.38832;2.12201;36.592
138055;380;"Entire place";41.40653;2.1746;347.624
147275;18;"Private room";41.42337;2.1749;16.4664
154437;NA;"Private room";41.39202;2.15101;NA
49968;129;"Entire place";41.4057;2.17016;118.0092
373667;250;"Entire place";41.38148;2.18123;228.7
58512;150;"Entire place";41.41129;2.18193;137.22
377161;121;"Entire place";41.41892;2.14871;110.6908
68547;130;"Entire place";41.3806;2.17796;118.924
162091;800;"Entire place";41.4064;2.17449;731.84
164456;90;"Private room";41.3826164;2.173318;82.332
379868;67;"Private room";41.4054946899414;2.17123508453369;61.2916
171646;146;"Entire place";41.40671;2.18592;133.5608
171816;146;"Entire place";41.40681;2.18553;133.5608
174382;357;"Entire place";41.40653;2.17455;326.5836
188267;333;"Entire place";41.39258;2.17692;304.6284
190348;NA;"Private room";41.38893;2.12443;NA
196021;509;"Entire place";41.38842;2.16108;465.6332
196196;357;"Entire place";41.4066;2.17459;326.5836
71520;NA;"Entire place";41.41841;2.13307;NA
71553;186;"Entire place";41.39705;2.17469;170.1528
71736;68;"Entire place";41.38174;2.16663;62.2064
72436;185;"Entire place";41.39909;2.20733;169.238
72793;60;"Entire place";41.38104;2.16565;54.888
72794;60;"Entire place";41.38214;2.16568;54.888
73683;257;"Entire place";41.40554;2.17017;235.1036
384063;237;"Entire place";41.39639;2.17641;216.8076
198958;371;"Entire place";41.40805;2.21487;339.3908
384155;124;"Entire place";41.38416;2.18257;113.4352
75003;94;"Entire place";41.40399;2.17802;85.9912
384464;532;"Entire place";41.38992;2.16974;486.6736
75411;171;"Entire place";41.40682;2.18649;156.4308
206122;142;"Entire place";41.39877;2.15887;129.9016
206167;150;"Entire place";41.3724;2.1648;137.22
209673;84;"Entire place";41.398;2.1553;76.8432
80004;NA;"Entire place";41.37371;2.16706;NA
89756;370;"Entire place";41.37861;2.16737;338.476
385049;NA;"Entire place";41.38203;2.18362;NA
214970;38;"Private room";41.37042;2.16411;34.7624
223096;NA;"Entire place";41.37364;2.13906;NA
393717;133;"Entire place";41.3795;2.16568;121.6684
234375;294;"Entire place";41.3997001647949;2.17488789558411;268.9512
238703;379;"Entire place";41.40653;2.1746;346.7092
89776;148;"Entire place";41.39224;2.17806;135.3904
543342;125;"Entire place";41.38324;2.15969;114.35
399772;125;"Entire place";41.38268;2.15044;114.35
548085;150;"Entire place";41.40213;2.17083;137.22
554955;68;"Entire place";41.38192;2.1669;62.2064
239821;225;"Entire place";41.39653;2.1442;205.83
402369;140;"Entire place";41.38035;2.17821;128.072
558366;51;"Private room";41.38361;2.18552;46.6548
558886;143;"Entire place";41.38201;2.14828;130.8164
408599;147;"Entire place";41.37374;2.15852;134.4756
560063;NA;"Entire place";41.3851;2.18164;NA
241614;193;"Entire place";41.37918;2.17733;176.5564
242335;NA;"Entire place";41.38113;2.18897;NA
417239;92;"Entire place";41.40413;2.15692;84.1616
252232;206;"Entire place";41.41626;2.20149;188.4488
562020;65;"Entire place";41.38141;2.16374;59.462
424137;291;"Entire place";41.37973;2.17458;266.2068
563971;87;"Entire place";41.37641;2.15895;79.5876
253030;NA;"Private room";41.41508;2.18857;NA
255195;41;"Entire place";41.3817;2.17195;37.5068
424294;NA;"Entire place";41.3884;2.17936;NA
256354;28;"Private room";41.4133682250977;2.13887691497803;25.6144
564809;40;"Private room";41.39748;2.15357;36.592
425639;NA;"Entire place";41.40864;2.14557;NA
567962;62;"Entire place";41.36886;2.13279;56.7176
256677;74;"Private room";41.3801;2.17693;67.6952
432482;219;"Entire place";41.39144;2.16128;200.3412
256982;50;"Private room";41.38333;2.18095;45.74
568129;40;"Private room";41.38192;2.15563;36.592
568185;41;"Private room";41.3819;2.15419;37.5068
568432;NA;"Private room";41.39215;2.15609;NA
437886;37;"Private room";41.39202;2.17246;33.8476
569610;NA;"Entire place";41.37518;2.14026;NA
267816;NA;"Entire place";41.37781;2.18445;NA
438102;45;"Private room";41.39829;2.1812;41.166
572646;60;"Entire place";41.37877;2.19063;54.888
439057;142;"Entire place";41.40002;2.1579;129.9016
268017;179;"Entire place";41.39268;2.17214;163.7492
443110;270;"Entire place";41.3879153;2.1522402;246.996
268022;231;"Entire place";41.39184;2.17146;211.3188
576046;30;"Private room";41.40315;2.18462;27.444
269467;127;"Entire place";41.40181;2.1761;116.1796
443222;168;"Entire place";41.40998;2.17553;153.6864
576550;NA;"Entire place";41.389347076416;2.19726300239563;NA
443909;35;"Private room";41.37733;2.17651;32.018
449854;126;"Entire place";41.38734;2.18018;115.2648
578180;NA;"Private room";41.40562;2.18658;NA
270197;74;"Entire place";41.37936;2.17376;67.6952
272282;NA;"Entire place";41.38347;2.15802;NA
449999;172;"Entire place";41.38946;2.17593;157.3456
578558;466;"Entire place";41.3969;2.17842;426.2968
273229;104;"Entire place";41.3778;2.1582;95.1392
451758;122;"Entire place";41.38139;2.16692;111.6056
582364;233;"Entire place";41.41015;2.14451;213.1484
273932;213;"Entire place";41.3895;2.15769;194.8524
456333;NA;"Private room";41.39937;2.17599;NA
274221;211;"Entire place";41.37938;2.18111;193.0228
584348;216;"Entire place";41.399;2.2062;197.5968
462062;NA;"Private room";41.3785057809385;2.1517925726746;NA
585762;201;"Entire place";41.39401;2.17159;183.8748
585872;211;"Entire place";41.38188;2.18968;193.0228
275336;145;"Entire place";41.3830667294092;2.15517545009476;132.646
468912;44;"Private room";41.39605;2.1563;40.2512
275346;309;"Entire place";41.3917572113107;2.1250562603605;282.6732
587203;21;"Private room";41.40231;2.20085;19.2108
469157;155;"Entire place";41.38046;2.17822;141.794
588268;110;"Entire place";41.40275;2.17698;100.628
275350;121;"Entire place";41.38099;2.17213;110.6908
276324;144;"Entire place";41.40292;2.16069;131.7312
276527;124;"Entire place";41.42042;2.148;113.4352
283231;137;"Entire place";41.39086;2.18803;125.3276
588996;104;"Entire place";41.37971;2.1575;95.1392
469177;259;"Entire place";41.37501;2.16009;236.9332
590503;141;"Entire place";41.39987;2.17047;128.9868
594235;NA;"Entire place";41.40427;2.15159;NA
288034;140;"Entire place";41.38839;2.15019;128.072
290535;260;"Entire place";41.38493;2.1809;237.848
469710;104;"Entire place";41.396084;2.168906;95.1392
472062;197;"Entire place";41.39822;2.16081;180.2156
291160;380;"Entire place";41.39383;2.19813;347.624
594580;281;"Entire place";41.40709;2.15523;257.0588
473395;228;"Entire place";41.39871;2.15292;208.5744
597715;90;"Entire place";41.40256;2.15325;82.332
473459;234;"Entire place";41.39851;2.15304;214.0632
598329;257;"Entire place";41.377438;2.188638;235.1036
295200;182;"Entire place";41.40697;2.16106;166.4936
315769;122;"Entire place";41.40466;2.17147;111.6056
320506;120;"Entire place";41.37195;2.16936;109.776
600590;58;"Private room";41.40505;2.17259;53.0584
615381;190;"Entire place";41.3848;2.16546;173.812
323854;NA;"Private room";41.40843;2.17494;NA
477256;65;"Private room";41.40248;2.19668;59.462
330723;21;"Private room";41.37571;2.17118;19.2108
617704;130;"Entire place";41.40187;2.17208;118.924
480975;NA;"Private room";41.37227;2.16574;NA
619728;192;"Entire place";41.40118;2.17793;175.6416
481739;182;"Entire place";41.39776;2.16499;166.4936
621656;56;"Private room";41.37206;2.14117;51.2288
627909;59;"Private room";41.39978;2.18291;53.9732
330745;220;"Entire place";41.38777;2.19601;201.256
330766;NA;"Entire place";41.39076;2.17503;NA
482801;35;"Private room";41.37349;2.13213;32.018
630566;199;"Entire place";41.40618;2.20279;182.0452
485222;21;"Private room";41.37811;2.12804;19.2108
330957;189;"Entire place";41.3978241462911;2.17057675595884;172.8972
487233;197;"Entire place";41.37243;2.16542;180.2156
335861;157;"Entire place";41.40349;2.20414;143.6236
337755;177;"Entire place";41.3925323486328;2.19325590133667;161.9196
343861;128;"Entire place";41.39993;2.16536;117.0944
634786;500;"Entire place";41.39078;2.15916;457.4
636702;413;"Entire place";41.39544;2.17887;377.8124
490517;178;"Entire place";41.40385;2.1691;162.8344
639137;271;"Entire place";41.38496;2.14292;247.9108
639820;136;"Entire place";41.37752;2.16021;124.4128
343864;146;"Entire place";41.40735;2.15885;133.5608
343866;163;"Entire place";41.40399;2.15565;149.1124
