"name","longitude","latitude"
"Buenas Migas",2.1359502,41.3889
"Buenas Migas",2.174871,41.3899281
"Buenas Migas",2.1519552,41.388713
"Buenas Migas",2.1485252,41.3755556
"Buenas Migas",2.1773128,41.3838079
"Buenas Migas",2.1373289,41.4100648
"Buenas Migas",2.1587856,41.3975542
"Buenas Migas",2.1696233,41.3838044
"Buenas Migas",2.1633443,41.3852245
"Buenas Migas",2.1497784,41.3944796
"Buenas Migas",2.1743326,41.4024253
"Buenas Migas",2.1612389,41.3752307
"Buenas Migas",2.1894951,41.3753402
"Buenas Migas",2.1620203,41.3932292
"Buenas Migas",2.1918005,41.4053896
