,floor,price,size,rooms,bathrooms,latitude,longitude,showAddress,hasLift,num_bancos_500,num_starbucks_500,num_atractivos_500,num_buenasmigas_500,num_clubesnocturnos_500,num_mcdonalds_500,num_metro_500,num_parking_500,num_parkingbici_500,num_parques_500,num_santagloria_500,num_vivari_500,num_airbnbs_500,status_newdevelopment,status_renew,newDevelopment_True,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio
5,0.0,4000.0,0.045508982035928146,0.075,0.1,41.4354436,2.1674187,1,0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.21739130434782608,0.0,0.0,0.013277006638503319,0,0,0,0,1,0,0
10,0.0,2927.0,0.0784431137724551,0.1,0.2,41.4135737,2.1939992,1,1,0.1,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.08139534883720931,0.08139534883720931,0.6086956521739131,0.0,0.0,0.05552202776101388,0,0,0,0,1,0,0
11,0.0,2195.0,0.0784431137724551,0.075,0.3,41.4146627,2.1898171,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.011627906976744186,0.011627906976744186,0.2608695652173913,0.0,0.0,0.0687990343995172,0,0,0,1,0,0,0
12,0.0,5000.0,0.10778443113772455,0.075,0.2,41.40693,2.2183404,1,0,0.13333333333333333,0.16666666666666666,0.029411764705882353,0.0,0.0,0.3333333333333333,0.047619047619047616,0.05813953488372093,0.05813953488372093,0.2608695652173913,0.0,0.0,0.024140012070006035,0,0,0,0,1,0,0
14,0.0,4000.0,0.04491017964071856,0.05,0.2,41.4083389,2.2121029,1,0,0.2,0.16666666666666666,0.029411764705882353,0.0,0.0,0.3333333333333333,0.11904761904761904,0.03488372093023256,0.03488372093023256,0.34782608695652173,0.0,0.0,0.05914302957151479,0,0,0,0,1,0,0
15,0.0,2500.0,0.0748502994011976,0.1,0.1,41.4225563,2.1844276,1,1,0.2,0.0,0.029411764705882353,0.0,0.0,0.0,0.11904761904761904,0.05813953488372093,0.05813953488372093,0.34782608695652173,0.0,0.0,0.0627640313820157,0,0,0,0,1,0,0
16,0.0,2300.0,0.05568862275449102,0.125,0.3,41.4252833,2.1843933,1,1,0.06666666666666667,0.0,0.029411764705882353,0.0,0.0,0.0,0.09523809523809523,0.08139534883720931,0.08139534883720931,0.5217391304347826,0.0,0.0,0.045866022933011466,0,0,0,0,1,0,0
17,0.0,7500.0,0.12574850299401197,0.075,0.3,41.4054848,2.2140693,0,0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.05813953488372093,0.05813953488372093,0.391304347826087,0.0,0.0,0.060350030175015085,0,0,0,1,0,0,0
18,0.0,6500.0,0.11377245508982035,0.075,0.2,41.405087,2.2142228,0,0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05813953488372093,0.05813953488372093,0.43478260869565216,0.0,0.0,0.05612552806276403,0,0,0,0,1,0,0
19,0.0,7300.0,0.1377245508982036,0.1,0.2,41.4038067,2.2143733,0,0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.43478260869565216,0.0,0.0,0.053108026554013275,0,0,0,0,1,0,0
