Unnamed: 0,floor,price,operation,size,exterior,rooms,bathrooms,latitude,longitude,newDevelopment,hasLift,topNewDevelopment,isParkingSpaceIncludedInPrice,numero_bancos_cercanos,numero_starbucks_cercanos,numero_atractivos_cercanos,numero_buenasmigas_cercanos,numero_clubesnocturnos_cercanos,numero_mcdonalds_cercanos,numero_metro_cercanos,numero_parking_cercanos,numero_parkingbici_cercanos,numero_parques_cercanos,numero_playas_cercanos,numero_santagloria_cercanos,numero_vivari_cercanos,num_airbnbs_500,media_precios_airbnbs_500,log_price,price_m2,log_price_m2,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,status_good,status_newdevelopment,num_airbnbs_500_mas_de_cero,media_precios_airbnbs_500_mas_de_cero,numero_bancos_cercanos_mas_de_cero,numero_starbucks_cercanos_mas_de_cero,numero_atractivos_cercanos_mas_de_cero,numero_buenasmigas_cercanos_mas_de_cero,numero_clubesnocturnos_cercanos_mas_de_cero,numero_mcdonalds_cercanos_mas_de_cero,numero_metro_cercanos_mas_de_cero,numero_parking_cercanos_mas_de_cero,numero_parkingbici_cercanos_mas_de_cero,numero_parques_cercanos_mas_de_cero,numero_playas_cercanos_mas_de_cero,numero_santagloria_cercanos_mas_de_cero,numero_vivari_cercanos_mas_de_cero,cluster,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23
1,4.0,749.0,rent,45.0,1,1,1,41.3837185,2.1759977,0,0,0,0,20,1,1,1,0,0,0,0,0,0,0,0,0,2,204.9152,6.61873898351722,16.6444444444444,2.8120764937469,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,2.0,4400.0,rent,170.0,1,3,4,41.3971816,2.1428853,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.38935981990635,25.8823529411765,3.25356138285609,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,5.0,1700.0,rent,74.0,1,2,1,41.4050399,2.211389,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.43838353004431,22.972972972973,3.13431843684014,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,2369.0,rent,127.0,1,2,2,41.4087459,2.215716,0,1,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,7.77022320415879,18.6535433070866,2.92603611770019,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,4000.0,rent,55.0,1,1,1,41.3922971,2.1694399,0,1,0,0,16,0,1,0,1,0,0,0,0,0,0,1,1,1,103.3724,8.29404964010203,72.7272727272727,4.28671645486956,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,4000.0,rent,81.0,1,2,2,41.3924005,2.1720221,0,1,0,0,16,0,0,1,1,0,0,0,0,0,0,1,1,0,0.0,8.29404964010203,49.3827160493827,3.89960048542959,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.0,4000.0,rent,85.0,1,2,2,41.3923514,2.1687852,0,1,0,0,19,0,1,0,0,0,0,0,0,0,0,1,1,1,103.3724,8.29404964010203,47.0588235294118,3.85139838361171,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7.0,4000.0,rent,60.0,1,1,1,41.3922715,2.1686713,0,1,0,0,19,0,1,0,0,0,0,0,0,0,0,1,1,1,103.3724,8.29404964010203,66.6666666666667,4.19970507787993,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,4200.0,rent,88.0,1,2,2,41.3956328,2.1714917,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,2,127.1572,8.34283980427146,47.7272727272727,3.86550298979325,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,1800.0,rent,110.0,1,3,2,41.4226846,2.1495908,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.49554194388426,16.3636363636364,2.79506157809184,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
