;floor;price;operation;size;exterior;rooms;bathrooms;latitude;longitude;newDevelopment;hasLift;topNewDevelopment;isParkingSpaceIncludedInPrice;numero_bancos_cercanos;numero_starbucks_cercanos;numero_atractivos_cercanos;numero_buenasmigas_cercanos;numero_clubesnocturnos_cercanos;numero_mcdonalds_cercanos;numero_metro_cercanos;numero_parking_cercanos;numero_parkingbici_cercanos;numero_parques_cercanos;numero_playas_cercanos;numero_santagloria_cercanos;numero_vivari_cercanos;num_airbnbs_500;media_precios_airbnbs_500;log_price;price_m2;log_price_m2;propertyType_chalet;propertyType_duplex;propertyType_flat;propertyType_penthouse;status_good;status_newdevelopment;num_airbnbs_500_mas_de_cero;media_precios_airbnbs_500_mas_de_cero;numero_bancos_cercanos_mas_de_cero;numero_starbucks_cercanos_mas_de_cero;numero_atractivos_cercanos_mas_de_cero;numero_buenasmigas_cercanos_mas_de_cero;numero_clubesnocturnos_cercanos_mas_de_cero;numero_mcdonalds_cercanos_mas_de_cero;numero_metro_cercanos_mas_de_cero;numero_parking_cercanos_mas_de_cero;numero_parkingbici_cercanos_mas_de_cero;numero_parques_cercanos_mas_de_cero;numero_playas_cercanos_mas_de_cero;numero_santagloria_cercanos_mas_de_cero;numero_vivari_cercanos_mas_de_cero;district;neighborhood
1;4;749;rent;45;1;1;1;413.837.185;21.759.977;0;0;0;0;20;1;1;1;0;0;0;0;0;0;0;0;0;2;2.049.152;661.873.898.351.722;166.444.444.444.444;28.120.764.937.469;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;Ciutat Vella;El G����
2;2;4400;rent;170;1;3;4;413.971.816;21.428.853;0;1;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;838.935.981.990.635;258.823.529.411.765;325.356.138.285.609;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Sarri������-Sant Ge;Sant Gervasi - Galvany
3;5;1700;rent;74;1;2;1;414.050.399;2.211.389;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;743.838.353.004.431;22.972.972.972.973;313.431.843.684.014;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Sant Mart�;Diagonal Mar i el Front Mar������tim del Pob
4;1;2369;rent;127;1;2;2;414.087.459;2.215.716;0;1;0;0;4;1;0;0;0;0;0;0;0;1;1;0;0;0;0;777.022.320.415.879;186.535.433.070.866;292.603.611.770.019;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;Sant Mart�;Diagonal Mar i el Front Mar������tim del Pob
5;0;4000;rent;55;1;1;1;413.922.971;21.694.399;0;1;0;0;16;0;1;0;1;0;0;0;0;0;0;1;1;1;1.033.724;829.404.964.010.203;727.272.727.272.727;428.671.645.486.956;0;0;0;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;1;Eixample;La Dreta de l'Eixample
6;0;4000;rent;81;1;2;2;413.924.005;21.720.221;0;1;0;0;16;0;0;1;1;0;0;0;0;0;0;1;1;0;0;829.404.964.010.203;493.827.160.493.827;389.960.048.542.959;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;Eixample;La Dreta de l'Eixample
7;6;4000;rent;85;1;2;2;413.923.514;21.687.852;0;1;0;0;19;0;1;0;0;0;0;0;0;0;0;1;1;1;1.033.724;829.404.964.010.203;470.588.235.294.118;385.139.838.361.171;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;Eixample;La Dreta de l'Eixample
8;7;4000;rent;60;1;1;1;413.922.715;21.686.713;0;1;0;0;19;0;1;0;0;0;0;0;0;0;0;1;1;1;1.033.724;829.404.964.010.203;666.666.666.666.667;419.970.507.787.993;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;Eixample;La Dreta de l'Eixample
9;0;4200;rent;88;1;2;2;413.956.328;21.714.917;0;1;0;0;16;0;0;0;0;0;0;0;0;0;0;1;0;2;1.271.572;834.283.980.427.146;477.272.727.272.727;386.550.298.979.325;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;Eixample;La Dreta de l'Eixample
10;0;1800;rent;110;1;3;2;414.226.846;21.495.908;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;749.554.194.388.426;163.636.363.636.364;279.506.157.809.184;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Horta-Guinard�;La Teixonera
