Unnamed: 0,floor,price,operation,size,exterior,rooms,bathrooms,latitude,longitude,newDevelopment,hasLift,topNewDevelopment,isParkingSpaceIncludedInPrice,numero_bancos_cercanos,numero_starbucks_cercanos,numero_atractivos_cercanos,numero_buenasmigas_cercanos,numero_clubesnocturnos_cercanos,numero_mcdonalds_cercanos,numero_metro_cercanos,numero_parking_cercanos,numero_parkingbici_cercanos,numero_parques_cercanos,numero_playas_cercanos,numero_santagloria_cercanos,numero_vivari_cercanos,num_airbnbs_500,media_precios_airbnbs_500,log_price,price_m2,log_price_m2,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,status_good,status_newdevelopment,num_airbnbs_500_mas_de_cero,media_precios_airbnbs_500_mas_de_cero,numero_bancos_cercanos_mas_de_cero,numero_starbucks_cercanos_mas_de_cero,numero_atractivos_cercanos_mas_de_cero,numero_buenasmigas_cercanos_mas_de_cero,numero_clubesnocturnos_cercanos_mas_de_cero,numero_mcdonalds_cercanos_mas_de_cero,numero_metro_cercanos_mas_de_cero,numero_parking_cercanos_mas_de_cero,numero_parkingbici_cercanos_mas_de_cero,numero_parques_cercanos_mas_de_cero,numero_playas_cercanos_mas_de_cero,numero_santagloria_cercanos_mas_de_cero,numero_vivari_cercanos_mas_de_cero,district_Ciutat Vella,district_Eixample,district_Gracia,district_Horta-Guinardo,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Marti,district_Sants-Montjuic,district_Sarria-Sant Gervasi
1,4.0,749.0,rent,45.0,1,1,1,413837185,21759977,0,0,0,0,20,1,1,1,0,0,0,0,0,0,0,0,0,2,2049152.0,661873898351722,166444444444444.0,28120764937469.0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2.0,4400.0,rent,170.0,1,3,4,413971816,21428853,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,838935981990635,258823529411765.0,325356138285609.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5.0,1700.0,rent,74.0,1,2,1,414050399,2211389,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,743838353004431,22972972972973.0,313431843684014.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1.0,2369.0,rent,127.0,1,2,2,414087459,2215716,0,1,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,777022320415879,186535433070866.0,292603611770019.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
5,0.0,4000.0,rent,55.0,1,1,1,413922971,21694399,0,1,0,0,16,0,1,0,1,0,0,0,0,0,0,1,1,1,1033724.0,829404964010203,727272727272727.0,428671645486956.0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
6,0.0,4000.0,rent,81.0,1,2,2,413924005,21720221,0,1,0,0,16,0,0,1,1,0,0,0,0,0,0,1,1,0,0.0,829404964010203,493827160493827.0,389960048542959.0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
7,6.0,4000.0,rent,85.0,1,2,2,413923514,21687852,0,1,0,0,19,0,1,0,0,0,0,0,0,0,0,1,1,1,1033724.0,829404964010203,470588235294118.0,385139838361171.0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
8,7.0,4000.0,rent,60.0,1,1,1,413922715,21686713,0,1,0,0,19,0,1,0,0,0,0,0,0,0,0,1,1,1,1033724.0,829404964010203,666666666666667.0,419970507787993.0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
9,0.0,4200.0,rent,88.0,1,2,2,413956328,21714917,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,2,1271572.0,834283980427146,477272727272727.0,386550298979325.0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
10,0.0,1800.0,rent,110.0,1,3,2,414226846,21495908,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,749554194388426,163636363636364.0,279506157809184.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2.0,1735.0,rent,44.0,0,1,1,413859764,21723487,0,1,0,0,19,1,0,2,1,0,0,0,0,0,0,0,1,0,0.0,745876269238096,394318181818182.0,36745730584627.0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12,1.0,1250.0,rent,95.0,1,3,2,413817911,21556358,0,1,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,713089883029635,131578947368421.0,257702193869581.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,4.0,2000.0,rent,70.0,1,2,1,413900208,21609292,0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,760090245954208,285714285714286.0,335240721749272.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,1.0,2000.0,rent,80.0,0,1,1,413779651,21645229,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,760090245954208,25.0,32188758248682.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,1.0,2695.0,rent,60.0,1,2,2,414019269,21625075,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78991534833431,449166666666667.0,3804808921121.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,7.0,1740.0,rent,106.0,1,3,1,414018007,21425676,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,746164039220858,164150943396226.0,279820129809651.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,6.0,1526.0,rent,92.0,0,4,2,414024636,21423744,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73304052118444,165869565217391.0,280861663479536.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,2.0,2670.0,rent,60.0,1,1,1,41402655,21629314,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78898337513943,44.5,379548918917219.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,0.0,5085.0,rent,212.0,1,3,3,414044164,21451037,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,853405030848266,239858490566038.0,317746403381065.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,3.0,1940.0,rent,85.0,1,2,1,413796029,2152498,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,757044325205737,228235294117647.0,312779199556706.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0.0,6600.0,rent,259.0,1,6,5,414031836,21340293,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,879482492801452,254826254826255.0,323799686631498.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22,5.0,4500.0,rent,254.0,1,4,3,413972484,21436452,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,841183267575841,177165354330709.0,287449840873987.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0.0,2800.0,rent,70.0,1,2,3,413780317,2159419,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,79373746961633,40.0,368887945411394.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,0.0,3900.0,rent,208.0,1,3,2,414117993,21560121,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,826873183211774,18.75,293119375241642.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,0.0,3900.0,rent,310.0,1,3,3,414126925,2159778,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,826873183211774,125806451612903.0,253215953463855.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,0.0,4900.0,rent,188.0,1,4,3,413899698,21310282,0,1,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,849699048409872,26063829787234.0,326054852126877.0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,9.0,4900.0,rent,179.0,1,4,3,413918784,21315078,0,1,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,849699048409872,273743016759777.0,330960467825796.0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,2.0,2275.0,rent,50.0,1,1,1,413954189,21691955,0,1,0,1,23,0,0,0,0,0,0,0,0,0,0,1,0,2,1271572.0,772973533138505,45.5,38177123259569.0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
29,0.0,1500.0,rent,136.0,0,1,1,413810866,21679114,0,1,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,73132203870903,110294117647059.0,240056550135425.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,9.0,4900.0,rent,350.0,1,4,3,413894264,21303834,0,1,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,849699048409872,14.0,263905732961526.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,9.0,4900.0,rent,188.0,1,4,3,413913941,21305489,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,849699048409872,26063829787234.0,326054852126877.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,0.0,7990.0,rent,520.0,1,7,7,414098846,21163462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,898594603876032,153653846153846.0,273211722718485.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
