floor,price,size,rooms,bathrooms,latitude,longitude,hasLift,isParkingSpaceIncludedInPrice,distancia_minima_banco,distancia_minima_starbucks,distancia_minima_atractivos,distancia_minima_buenasmigas,distancia_minima_clubesnocturnos,distancia_minima_mcdonalds,distancia_minima_metro,distancia_minima_parking,distancia_minima_parkingbici,distancia_minima_parques,distancia_minima_playa,distancia_minima_santagloria,distancia_minima_vivari,distancia_minima_airbnb,num_airbnbs_500,media_precios_airbnbs_500,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_newdevelopment,status_renew,newDevelopment_1.0,topNewDevelopment_True,exterior_1.0
0.0,700,0.0449438202247191,0.1,0.0625,41.3526321,1.7802257,0,False,0.9917662709008339,0.9917662709043541,0.991766270904554,0.9917662709034384,0.9917662709040166,0.9917662709047848,0.991766270903246,0.9917662709044249,0.9917662709037541,0.9917662709035256,0.9917662709056418,0.9917662709034725,0.9917662709050906,0.9917662709036178,0.0,0.0,1,0,0,0,0,0,0,0,0,0
0.0,700,0.0449438202247191,0.1,0.0625,41.3536531,1.7828342,0,False,0.9917934025197984,0.9917934025232998,0.9917934025234975,0.9917934025223909,0.9917934025229638,0.9917934025237273,0.9917934025221968,0.991793402523369,0.991793402522702,0.9917934025224748,0.9917934025245819,0.9917934025224249,0.9917934025240321,0.991793402522567,0.0,0.0,1,0,0,0,0,0,0,0,0,0
0.08,535,0.0149812734082397,0.025,0.0625,41.4287052,1.7836603,0,False,0.9935909080034333,0.9935909080068575,0.9935909080071746,0.9935909080057977,0.993590908006549,0.9935909080073625,0.9935909080058422,0.993590908007046,0.9935909080063682,0.9935909080061373,0.9935909080079998,0.9935909080058023,0.9935909080076043,0.9935909080061974,0.0,0.0,0,0,1,0,0,0,0,0,0,0
0.12,1090,0.03745318352059925,0.1,0.125,41.4304312,1.786487,1,1.0,0.9927218999917239,0.9927219000058828,0.992721900004965,0.9927218999993681,0.9927219000048593,0.9927219000090616,0.9927219000024795,0.9927219000035218,0.9927219000003555,0.992721899998415,0.9927219000092163,0.9927218999990283,0.992721900009359,0.9927219000038615,0.0,0.0,0,0,1,0,0,0,0,0,0,1
0.08,1000,0.04119850187265917,0.075,0.125,41.4259661,1.7884079,0,False,0.9935302372495692,0.9935302372529641,0.9935302372532695,0.9935302372519256,0.9935302372526567,0.9935302372534585,0.9935302372519528,0.993530237253142,0.9935302372524719,0.9935302372522437,0.9935302372541044,0.9935302372519323,0.9935302372537022,0.9935302372523055,0.0,0.0,0,0,1,0,0,0,0,0,0,1
0.12,905,0.02659176029962547,0.075,0.125,41.4304838,1.7913841,1,False,0.9936414629453252,0.9936414629486955,0.9936414629490041,0.993641462947658,0.9936414629483913,0.9936414629491901,0.9936414629476942,0.993641462948877,0.9936414629482109,0.9936414629479837,0.9936414629498235,0.9936414629476634,0.9936414629494298,0.993641462948044,0.0,0.0,0,0,1,0,0,0,0,0,0,0
0.12,696,0.02659176029962547,0.075,0.125,41.4285291,1.7920816,1,False,0.9935953923170693,0.9935953923204366,0.9935953923207408,0.9935953923194056,0.9935953923201322,0.993595392320928,0.9935953923194343,0.9935953923206144,0.9935953923199494,0.993595392319723,0.993595392321567,0.9935953923194119,0.9935953923211693,0.993595392319784,0.0,0.0,0,0,1,0,0,0,0,0,0,0
0.0,1500,0.058426966292134834,0.075,0.125,41.2787152,1.8067827,0,1.0,0.9900244147732604,0.9900244147766719,0.9900244147767121,0.9900244147759958,0.9900244147763197,0.9900244147769812,0.9900244147755191,0.9900244147765909,0.9900244147759725,0.9900244147757621,0.9900244147780576,0.9900244147760644,0.9900244147773469,0.9900244147758883,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.0,5500,0.11235955056179775,0.1,0.125,41.2644551,1.8083817,0,1.0,0.9896847327959859,0.9896847327994003,0.9896847327994149,0.9896847327987588,0.9896847327990439,0.9896847327996917,0.9896847327982333,0.9896847327992944,0.9896847327986806,0.9896847327984719,0.9896847328008098,0.989684732798833,0.9896847328000694,0.9896847327986041,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.0,5500,0.11235955056179775,0.1,0.125,41.2644551,1.8083817,0,1.0,0.9896847327959859,0.9896847327994003,0.9896847327994149,0.9896847327987588,0.9896847327990439,0.9896847327996917,0.9896847327982333,0.9896847327992944,0.9896847327986806,0.9896847327984719,0.9896847328008098,0.989684732798833,0.9896847328000694,0.9896847327986041,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.0,1950,0.06329588014981273,0.1,0.125,41.3115597,1.8100298,0,False,0.9908140508081971,0.9908140508115552,0.9908140508116435,0.9908140508108227,0.9908140508112167,0.9908140508118941,0.990814050810445,0.990814050811523,0.9908140508109042,0.9908140508106936,0.9908140508128754,0.9908140508108788,0.990814050812232,0.9908140508108059,0.0,0.0,0,0,0,0,0,0,0,0,0,0
